index,id,kind,phase,strength,owner,applies_to,summary,internal_spec_line
1,front-matter.document-organization,conformance-statement,conformance,required,front-matter.document-organization,oracle.coverage,Document organization requirements,19
2,front-matter.feature-section-template,conformance-statement,conformance,required,front-matter.feature-section-template,oracle.coverage,Required feature section template,77
3,front-matter.language-design-contract,conformance-statement,conformance,recommended,front-matter.language-design-contract,oracle.coverage,Language design contract,102
4,def.Conforming,formal-definition,conformance,required,conformance.definitions,"oracle.reference-model, oracle.coverage",Conforming project definition,151
5,def.WF,formal-definition,conformance,required,conformance.definitions,"oracle.reference-model, oracle.coverage",Well-formed project definition,166
6,def.ReqJudgments,formal-definition,conformance,required,conformance.definitions,"oracle.reference-model, oracle.coverage",Required judgment sequence,181
7,def.Phase1Order,formal-definition,conformance,required,conformance.translation-phases,"compiler.parse, oracle.reference-model, oracle.coverage",Phase 1 translation order,196
8,def.Phase2Order,formal-definition,conformance,required,conformance.translation-phases,"compiler.parse, oracle.reference-model, oracle.coverage",Phase 2 translation order,211
9,def.Phase3Checks,formal-definition,conformance,required,conformance.translation-phases,"compiler.resolve, compiler.typecheck, oracle.reference-model, oracle.coverage",Phase 3 check sequence,226
10,def.Phase3Order,formal-definition,conformance,required,conformance.translation-phases,"compiler.resolve, compiler.typecheck, oracle.reference-model, oracle.coverage",Phase 3 translation order,245
11,def.Phase4Order,formal-definition,conformance,required,conformance.translation-phases,"compiler.codegen, oracle.reference-model, oracle.coverage",Phase 4 translation order,259
12,def.TypeAndStatementNodes,formal-definition,conformance,required,conformance.constructs,"oracle.reference-model, oracle.coverage",Type and statement AST node sets,274
13,def.ItemKind,formal-definition,conformance,required,conformance.constructs,"oracle.reference-model, oracle.coverage",Top-level item kind classifier,289
14,def.TopDeclConstructs,formal-definition,conformance,required,conformance.constructs,"oracle.reference-model, oracle.coverage",Top-level declaration construct set,311
15,def.TypeCtor,formal-definition,conformance,required,conformance.constructs,"oracle.reference-model, oracle.coverage",Type constructor classifier,325
16,def.TypeConstructs,formal-definition,conformance,required,conformance.constructs,"oracle.reference-model, oracle.coverage",Type construct set,366
17,def.PermissionConstructs,formal-definition,conformance,required,conformance.constructs,"oracle.reference-model, oracle.coverage",Permission construct classifiers and set,380
18,def.ExprKind,formal-definition,conformance,required,conformance.constructs,"oracle.reference-model, oracle.coverage",Expression kind classifier,399
19,def.StmtKind,formal-definition,conformance,required,conformance.constructs,"oracle.reference-model, oracle.coverage",Statement kind classifier,440
20,def.ExprStmtConstructs,formal-definition,conformance,required,conformance.constructs,"oracle.reference-model, oracle.coverage",Expression and statement construct set,467
21,def.CapConstructs,formal-definition,conformance,required,conformance.constructs,"oracle.reference-model, oracle.coverage",Capability construct set,481
22,def.Constructs,formal-definition,conformance,required,conformance.constructs,"oracle.reference-model, oracle.coverage",Aggregate construct coverage set,495
23,Reject-IllFormed,formal-rule,conformance,required,conformance.rejection,"compiler.diagnostics, oracle.reference-model, oracle.coverage",Reject ill-formed projects,509
24,def.TranslationPhases,formal-definition,conformance,required,conformance.translation-phases,"oracle.reference-model, oracle.coverage",Translation phase list,527
